"year","location","crime","rate_per_100K","county"
2017,"Ohio","Property Crime",2405.3,"Franklin County"
2017,"Ohio","Rape Legacy",NA,"Franklin County"
2017,"Ohio","Rape Revised",50,"Franklin County"
2017,"Ohio","Robbery",96.2,"Franklin County"
2017,"Ohio","Violent Crime",296.8,"Franklin County"
2016,"Ohio","Aggravated Assault",144.1,"Franklin County"
2016,"Ohio","Homicide",5.9,"Franklin County"
2016,"Ohio","Property Crime",2589.3,"Franklin County"
2016,"Ohio","Rape Legacy",36.6,"Franklin County"
2016,"Ohio","Rape Revised",49.5,"Franklin County"
2016,"Ohio","Robbery",108.2,"Franklin County"
2016,"Ohio","Violent Crime",307.7,"Franklin County"
2018,"Ohio","Aggravated Assault",157.3,"Franklin County"
2018,"Ohio","Homicide",5.1,"Franklin County"
2018,"Ohio","Property Crime",2208.3,"Franklin County"
2018,"Ohio","Rape Legacy",NA,"Franklin County"
2018,"Ohio","Rape Revised",50.1,"Franklin County"
2018,"Ohio","Robbery",82.3,"Franklin County"
2018,"Ohio","Violent Crime",294.8,"Franklin County"
2019,"Ohio","Aggravated Assault",163.9,"Franklin County"
2019,"Ohio","Homicide",4.6,"Franklin County"
2019,"Ohio","Property Crime",2055.7,"Franklin County"
2019,"Ohio","Rape Legacy",NA,"Franklin County"
2019,"Ohio","Rape Revised",49,"Franklin County"
2019,"Ohio","Robbery",75.7,"Franklin County"
2019,"Ohio","Violent Crime",293.2,"Franklin County"
2017,"Texas","Aggravated Assault",268.1,"Dallas County"
2017,"Texas","Homicide",5,"Dallas County"
2017,"Texas","Property Crime",2553.2,"Dallas County"
2017,"Texas","Rape Legacy",NA,"Dallas County"
2017,"Texas","Rape Revised",51.3,"Dallas County"
2017,"Texas","Robbery",113.4,"Dallas County"
2017,"Texas","Violent Crime",437.8,"Dallas County"
2009,"Texas","Aggravated Assault",298.7,"Dallas County"
2009,"Texas","Homicide",5.4,"Dallas County"
2009,"Texas","Property Crime",4015.3,"Dallas County"
2009,"Texas","Rape Legacy",33.5,"Dallas County"
2009,"Texas","Rape Revised",NA,"Dallas County"
2009,"Texas","Robbery",153.4,"Dallas County"
2009,"Texas","Violent Crime",491,"Dallas County"
2010,"Texas","Aggravated Assault",283.2,"Dallas County"
2010,"Texas","Homicide",4.9,"Dallas County"
2010,"Texas","Property Crime",3766.8,"Dallas County"
2010,"Texas","Rape Legacy",30.2,"Dallas County"
2010,"Texas","Rape Revised",NA,"Dallas County"
2010,"Texas","Robbery",130.1,"Dallas County"
2010,"Texas","Violent Crime",448.4,"Dallas County"
2011,"Texas","Aggravated Assault",263.3,"Dallas County"
2011,"Texas","Homicide",4.4,"Dallas County"
2011,"Texas","Property Crime",3483.2,"Dallas County"
2011,"Texas","Rape Legacy",29.2,"Dallas County"
2011,"Texas","Rape Revised",NA,"Dallas County"
2011,"Texas","Robbery",111.7,"Dallas County"
2011,"Texas","Violent Crime",408.6,"Dallas County"
2012,"Texas","Aggravated Assault",258,"Dallas County"
2012,"Texas","Homicide",4.4,"Dallas County"
2012,"Texas","Property Crime",3363.1,"Dallas County"
2012,"Texas","Rape Legacy",29.6,"Dallas County"
2012,"Texas","Rape Revised",NA,"Dallas County"
2012,"Texas","Robbery",116.6,"Dallas County"
2012,"Texas","Violent Crime",408.6,"Dallas County"
2015,"Texas","Aggravated Assault",246.6,"Dallas County"
2015,"Texas","Homicide",4.8,"Dallas County"
2015,"Texas","Property Crime",2840.8,"Dallas County"
2015,"Texas","Rape Legacy",32.6,"Dallas County"
2015,"Texas","Rape Revised",44.9,"Dallas County"
2015,"Texas","Robbery",116.4,"Dallas County"
2015,"Texas","Violent Crime",412.7,"Dallas County"
2013,"Texas","Aggravated Assault",246.6,"Dallas County"
2013,"Texas","Homicide",4.3,"Dallas County"
2013,"Texas","Property Crime",3253.2,"Dallas County"
2013,"Texas","Rape Legacy",28.7,"Dallas County"
2013,"Texas","Rape Revised",39.4,"Dallas County"
2013,"Texas","Robbery",120,"Dallas County"
2013,"Texas","Violent Crime",410.3,"Dallas County"
2014,"Texas","Aggravated Assault",244.1,"Dallas County"
2014,"Texas","Homicide",4.4,"Dallas County"
2014,"Texas","Property Crime",3015.4,"Dallas County"
2014,"Texas","Rape Legacy",31.1,"Dallas County"
2014,"Texas","Rape Revised",43.1,"Dallas County"
2014,"Texas","Robbery",115,"Dallas County"
2014,"Texas","Violent Crime",406.7,"Dallas County"
2016,"Texas","Aggravated Assault",261,"Dallas County"
2016,"Texas","Homicide",5.3,"Dallas County"
2016,"Texas","Property Crime",2759,"Dallas County"
2016,"Texas","Rape Legacy",35.5,"Dallas County"
2016,"Texas","Rape Revised",48.2,"Dallas County"
2016,"Texas","Robbery",119.3,"Dallas County"
2016,"Texas","Violent Crime",433.8,"Dallas County"
2018,"Texas","Aggravated Assault",256.5,"Dallas County"
2018,"Texas","Homicide",4.6,"Dallas County"
2018,"Texas","Property Crime",2379.2,"Dallas County"
2018,"Texas","Rape Legacy",NA,"Dallas County"
2018,"Texas","Rape Revised",52.7,"Dallas County"
2018,"Texas","Robbery",99,"Dallas County"
2018,"Texas","Violent Crime",412.9,"Dallas County"
2019,"Texas","Aggravated Assault",263,"Dallas County"
2019,"Texas","Homicide",4.9,"Dallas County"
2019,"Texas","Property Crime",2390.7,"Dallas County"
2019,"Texas","Rape Legacy",NA,"Dallas County"
2019,"Texas","Rape Revised",51.1,"Dallas County"
2019,"Texas","Robbery",100,"Dallas County"
2019,"Texas","Violent Crime",418.9,"Dallas County"
2017,"Washington","Aggravated Assault",182.8,"King County"
2017,"Washington","Homicide",3,"King County"
2017,"Washington","Property Crime",3167.6,"King County"
2017,"Washington","Rape Legacy",NA,"King County"
2017,"Washington","Rape Revised",44.4,"King County"
2017,"Washington","Robbery",72.5,"King County"
2017,"Washington","Violent Crime",302.8,"King County"
2009,"Washington","Aggravated Assault",194,"King County"
2009,"Washington","Homicide",2.9,"King County"
2009,"Washington","Property Crime",3679.6,"King County"
2009,"Washington","Rape Legacy",38.8,"King County"
2009,"Washington","Rape Revised",NA,"King County"
2009,"Washington","Robbery",100.7,"King County"
2009,"Washington","Violent Crime",336.3,"King County"
2010,"Washington","Aggravated Assault",185,"King County"
2010,"Washington","Homicide",2.3,"King County"
2010,"Washington","Property Crime",3699.1,"King County"
2010,"Washington","Rape Legacy",38.2,"King County"
2010,"Washington","Rape Revised",NA,"King County"
2010,"Washington","Robbery",87.9,"King County"
2010,"Washington","Violent Crime",313.5,"King County"
2011,"Washington","Aggravated Assault",176.5,"King County"
2011,"Washington","Homicide",2.4,"King County"
2011,"Washington","Property Crime",3579.1,"King County"
2011,"Washington","Rape Legacy",34,"King County"
2011,"Washington","Rape Revised",NA,"King County"
2011,"Washington","Robbery",82.5,"King County"
2011,"Washington","Violent Crime",295.3,"King County"
2012,"Washington","Aggravated Assault",178.2,"King County"
2012,"Washington","Homicide",3.1,"King County"
2012,"Washington","Property Crime",3689.1,"King County"
2012,"Washington","Rape Legacy",32.6,"King County"
2012,"Washington","Rape Revised",NA,"King County"
2012,"Washington","Robbery",84.1,"King County"
2012,"Washington","Violent Crime",298.1,"King County"
2014,"Washington","Aggravated Assault",164,"King County"
2014,"Washington","Homicide",2.5,"King County"
2014,"Washington","Property Crime",3698.9,"King County"
2014,"Washington","Rape Legacy",28.3,"King County"
2014,"Washington","Rape Revised",39.4,"King County"
2014,"Washington","Robbery",79.9,"King County"
2014,"Washington","Violent Crime",285.8,"King County"
2015,"Washington","Aggravated Assault",168.4,"King County"
2015,"Washington","Homicide",3,"King County"
2015,"Washington","Property Crime",3484.1,"King County"
2015,"Washington","Rape Legacy",28,"King County"
2015,"Washington","Rape Revised",38.8,"King County"
2015,"Washington","Robbery",76.1,"King County"
2015,"Washington","Violent Crime",286.4,"King County"
2013,"Washington","Aggravated Assault",166.7,"King County"
2013,"Washington","Homicide",2.4,"King County"
2013,"Washington","Property Crime",3715.9,"King County"
2013,"Washington","Rape Legacy",29.7,"King County"
2013,"Washington","Rape Revised",37.3,"King County"
2013,"Washington","Robbery",83.6,"King County"
2013,"Washington","Violent Crime",290,"King County"
2016,"Washington","Aggravated Assault",180.3,"King County"
2016,"Washington","Homicide",2.7,"King County"
2016,"Washington","Property Crime",3502.2,"King County"
2016,"Washington","Rape Legacy",31.6,"King County"
2016,"Washington","Rape Revised",43,"King County"
2016,"Washington","Robbery",77.6,"King County"
2016,"Washington","Violent Crime",303.5,"King County"
2018,"Washington","Aggravated Assault",190.3,"King County"
2018,"Washington","Homicide",3.1,"King County"
2018,"Washington","Property Crime",2967.3,"King County"
2018,"Washington","Rape Legacy",NA,"King County"
2018,"Washington","Rape Revised",48,"King County"
2018,"Washington","Robbery",73.9,"King County"
2018,"Washington","Violent Crime",315.3,"King County"
2019,"Washington","Aggravated Assault",179.9,"King County"
2019,"Washington","Homicide",2.6,"King County"
2019,"Washington","Property Crime",2681.9,"King County"
2019,"Washington","Rape Legacy",NA,"King County"
2019,"Washington","Rape Revised",43.8,"King County"
2019,"Washington","Robbery",67.6,"King County"
2019,"Washington","Violent Crime",293.9,"King County"
